,item,item_code
83830,لبیک_یا_امام,34902
83847,ایران_جوان,16635
83858,علیکم_باخوانکم,32255
83863,فرزندآوری,33164
83870,پای_کار_خوزستانیم,42117
83884,آدرس_غلط,11642
83910,انتصاب_دزدکی,15967
83913,سینکی,29355
83983,CFT,1283
84282,فتنه_تغلب,32909
84560,تحدید_نسل,19244
84563,تربیت_فرزند,19490
84575,ترکمنچاه,19618
84713,سید_حسین_علم_الهدی,29093
84717,خطای_نابخشودنی,23140
84766,روایت_فتنه,26100
84872,ریت_لطفا,26724
84901,سی_شلغم_بنفش,29010
84941,مادری,35364
84968,مذاکره,36582
85311,DownWithUSA,1903
85348,ازسبد_تامعاونت,13417
85351,استعفای_ظریف,13603
85623,اقتدار_سپاه,14440
85757,دولت_جوان_و_حزب‌اللهی,24757
85778,شيفت_شب,30501
85879,فرزند_آوری,33160
85883,وزیرک_جوان,41411
85886,پاسخ_پرزیدنت,42013
85940,گام_دوم,44789
86027,USEnd,7447
86089,آب_و_صابون,11477
86095,آقامیری,12032
86173,آیت_الله_هاشمی_شاهرودی,12384
86199,انقلاب_اسلامی,16160
86563,ترکمنچای_بانکی,19620
86574,جان_بولتون,20665
86708,دولت_بیکفایت,24744
86711,زنان,27019
87380,زنونابین,27168
87438,سپاه_خودرو_بساز,28880
87465,شب_بخیر,29582
87515,شب_زیارتی,29595
87606,شو_برهنگی,30366
87618,صداوسيما,30838
87889,فاطمیه,32832
88127,فرانسه,33057
88552,لبیک,34899
88579,مرضیه_هاشمی,36794
88935,مقاومت,37646
89215,منشن,38051
89334,موسوی_سندتقلب_کو,38449
89407,نفوذ,39527
89561,نماز_جمعه_انقلابی,39595
89585,هاشمی_زنده_است,40334
89671,پالرمو,42047
90006,پرسپوليس_قهرمان,42291
90056,کروبی_سندتقلب_کو,44067
90111,یاعلی,45454
90231,Down_with_Israel,1908
90237,FATF,2287
91127,FreeMarziehHashemi,2607
91329,HappyNewYear,3123
91479,HappyNewYear2019,3125
91569,מוות_לישראל,11453
91581,آجیل,11575
91629,آدمکشهای_اجاره_ای,11653
91704,آرین_غلامی,11801
91758,آقا_جان,11996
91763,آملی_لاریجانی,12162
91886,آگهی_استخدام,12334
91898,ائمه_جمعه,12525
91914,اختیارات,13033
91927,ازدواج,13398
92169,استخدام_بنفش,13558
92244,اسحاق_جهانگیری,13710
92299,اصلاح_طلب,14001
92649,افراطی,14322
92667,اقاميري,14426
92710,اقتصاد,14450
93146,السلام_علیک_یا_فاطمه_الزهرا,14931
93154,الپهلوی,15434
93300,امام_جمعه_انقلابی,15511
93318,امام_حسنی_ام,15531
93444,امام_خمینی_ره,15550
93460,امام_صادقی,15572
93463,امنیت_اتفاقی_نیست,15691
93485,امیرالمومنین,15830
93548,انسیه_حورا,16104
93565,انقلاب,16149
94223,ایران_قربانی_تروریسم,16676
94389,ایرانی_بخریم,16758
94393,برعنداز,17751
94449,بسیج,17947
94724,بسیج_دانشجویی,17953
94749,بوی_مرموز,18544
94835,بی_تدبیری,18658
94852,بی_حیا,18668
94862,بی_عدالتی,18687
94895,بیانیه_گام_دوم_انقلاب,18731
94898,بیسواد,18791
94935,بیکار,18882
94962,تحریم,19255
95845,ترکمانچاه,19611
95872,تقریبا_هیچ,19908
95896,تقلب,19914
96015,توئیت,20160
96066,ثریا,20541
96101,جشنواره_فیلم_فجر,20908
96306,جلیقه_زردها,20985
96401,جهان,21316
96546,جواد_الائمة,21378
96559,جوان,21410
96690,جوانان,21417
96899,جیغ_سلاح_مجرم,21521
96918,حجاب_وقار_است,21745
96979,حجاب_کهن,21747
97135,حضرت_آقا,22139
97179,حقیقت_زن,22304
97236,حیات,22575
97241,حیدر_کرار_علی,22586
97245,خاتمي,22614
97337,خاتمی_سندتقلب_کو,22621
97396,خارج_از_دید,22637
97443,خانه_ذلت,22765
97450,خانه_ملت,22771
97508,خشت_اول,23077
97512,دانشگاه_آزاد,23773
97694,دهلاویه,24546
97712,دولت_جوان_و_حزب_اللهی,24756
97715,دولت_لیبرال,24777
97736,رئیسی,25232
98347,رائفی_پور,25244
98678,رد_خون,25578
98713,رضایی,25854
98735,روز_قدس,26327
98972,ريت_لطفا,26613
98975,ريتوييت,26619
99385,ریت,26722
99861,زبان_فارسی,26874
99937,زنانه,27059
99945,زور_بزنید,27225
99950,زینب_کبری,27315
99985,سبک_زندگی,27656
100043,سران_فتنه,27800
100055,سعید_عابد,28124
100247,سوغات_فرنگ,28728
100266,سپیده_قلیان,28953
100646,سیرجان,29179
100794,سیل_مازندارن_گلستان,29265
100857,شاه_در_رفت,29449
100863,شب_جمعه_است_هوایت_نکنم_میمیرم,29590
100878,شب_یلدا,29610
101046,شبکه_کیش,29663
101108,شهید_بهشتی,30238
101189,صداوسیما,30840
101874,صمتك_يرعبهم,30989
101890,طلبه_همدانی,31257
102137,عائشة_اللولو,31376
102169,عاشورا,31443
102345,عزت,31753
102417,عصر_جدید,31842
102602,عقلانیت_انقلابی,31929
102608,علی_لاریجانی,32142
102723,علیرضا_پناهیان,32218
102727,عملیات_فریب,32349
102779,فتنه_۸۸,32924
102820,فساد,33454
103218,فوری,33704
103901,فکه,33761
103906,قالیباف,33967
104269,قوه_قضاییه,34406
104489,كريسمس,34624
104521,كيش,34736
104542,لاریجانی_استعفا,34793
104545,له_ستان,35037
104594,لهک,35043
104649,لیبرال,35135
104744,لیمیت,35196
104751,مجلس_انقلابی,35832
104754,مجمع_تشخیص_مصلحت,35861
104811,محدود,35942
104821,محمد_بهنیا,36072
104964,مدافعان_خليج_فارس,36462
105037,مرد,36681
105187,مردم,36709
105917,مرضيه_هاشمي,36786
105934,مرگ_بر_آمریکا,36852
106447,مرگ_بر_انگلیس,36860
106470,معرفی_کتاب,37494
106513,معصومه_ابتکار,37504
106579,منافق,38004
106669,مهدی,38195
106725,مهمان_داریم,38318
106826,نابودی_اسرائیل,38896
106841,نعمتی,39482
106844,نفتکش,39504
106990,نقش_من,39561
106993,نماينده_سراوان_استعفا,39613
107010,نماینده_جلفا,39637
107034,نماینده_سراوان_استعفا,39639
107072,نماینده_شبستر,39641
107106,نه_به_استانی_شدن_انتخابات,39708
107112,نگرانی,40145
107127,همجنسبازها_کثیف_ترین_موجودات_روی_زمین,40666
107130,هویزه,40944
107149,وزارت_نفت,41310
107234,وزیر_عمارت,41383
107260,ولنگاری,41575
107265,ياعلي,41782
107333,پالرمو_عليه_معيشت,42048
107505,پرسپولیس,42297
108309,پلدختر,42565
108733,چهل_سال_اقتدار,43319
108896,چهل_سال_شکنجه,43364
109051,چهل_سالگی_انقلاب,43390
109521,کارمندی,43643
109525,کاپشن_مشکی,43902
109613,کربلا,43991
109816,کفش_ملی,44218
109889,کنسرت,44403
109991,کودک_آزاری,44497
110071,کپی_رایت,44652
110086,گام‌_دوم_انقلاب,44799
110110,گاندو,44801
110255,گوشت,45182
110568,یا_حسین,45310
110612,زکریا,27255
110625,زکریا_شهید,27257
110632,برانکو,17635
110880,سرطان_اصلاحات,27920
110979,شکست_معامله_قرن,30531
110991,لا_لصفقة_القرن,34763
111116,نحو_القدس,39221
111249,نه_به_معامله_قرن,39817
111414,BlackHole,1092
111429,blackhole,8401
111438,افهمم,14407
111441,الهه_احمدی,15374
111448,ترامپ_دروغگو,19451
111545,تکرار_نمیکنیم,20443
111648,جانم_فدای_ایران,20697
111696,حیدریم,22591
111702,زکریای_شهید,27259
111836,سرافراز,27798
111911,سربازان_رهبر,27822
111914,سپاهان_پرسپولیس,28915
111921,سیاه_چاله,29045
111935,سیاهچاله,29047
111982,شازده_ربع_پهلوی,29413
111985,صادق_زیباکلام,30725
112064,صبح_جمعه,30784
112069,صدف_خادم,30880
112168,عصرجدید,31851
112228,قربانی_اصلاحات,34132
112240,لبیک_یامهدی,34914
112253,لیست_بلاک,35160
112320,مختار,36418
112335,مسعود_بهنود,37108
112402,من_یک_سپاهی_هستم,37956
112429,مناجات_شعبانیه,37972
112468,مهنازافشار,38333
112512,واجب_فراموش_شده,41047
112524,پرسپوليس_سپاهان,42288
112569,یااباصالح_ادرکنی,45334
112574,یامهدی,45466
112599,BBMAsTopSocial,792
112911,EXO,1999
113208,BBAMsTopSocial,775
113228,GeniusBaekhyunDay,2840
113280,exo,8997
113349,weareoneEXO,11285
113524,مهریه,38306
